"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","B0","B1","B2","Coord_start","Coord_end","Count","Increasing.Linear","Inc_Linear_Benji_Pass","Decreasing.Linear","Dec_Linear_Benji_Pass","Quadratic","Quadratic_Benji_Pass","Transmission_Rate_Spatial_GLM","Transmission_Rate_TR_GLM","Transmission_Defect","Transmission_Bias_Positive","TR_GLM_Adj_pval"
"R102H01","Z88-4x1_inference.xml",0.0181830826480346,0.889998255964749,0.110001744035251,-0.821700656057051,0.00278284826502618,-1.58511711256174e-06,230,1802,19,0.663227397882701,NA,0.55665442027397,NA,0.422528177420516,NA,0.506363760777337,0.510044642857143,FALSE,FALSE,0.270633674110485
"R106E07","Y89-2x1_inference.xml",0.0224116400496143,0.33881535475603,0.66118464524397,0.818730516088573,-0.00262606331185196,1.50449524173672e-06,82,1834,7,0.797396266922363,NA,0.264112172908792,NA,0.00728494895973328,NA,0.506012950971323,0.512493059411438,FALSE,FALSE,0.382304807358986
"R106G12","X427L-1x402_inference.xml",0.00995292306011102,0.278705507829117,0.721294492170883,-1.70963316254288,0.00612473332194386,-4.55119059675658e-06,74,1295,10,0.494469478873493,NA,0.644596602342357,NA,0.213987483851309,NA,0.502912621359223,0.504161412358134,FALSE,FALSE,0.834852446673505
"R34C11","B778B-2x2_inference.xml",0.0282474840960262,0.323495465205644,0.676504534794356,1.74476377059163,-0.0048846266992815,2.63763086128643e-06,100,1866,9,0.0453190061613826,NA,0.987986697451186,NA,0.0258068670901887,NA,0.51892635925671,0.522480620155039,FALSE,FALSE,0.0845361518945274
"R34C11","X488-1x402T_inference.xml",0.00617830922799535,0.519178754888499,0.480821245111501,1.10774614278082,-0.00323887104799444,1.92242146267886e-06,56,1773,9,0.0453190061613826,NA,0.987986697451186,NA,0.0258068670901887,NA,0.51892635925671,0.522480620155039,FALSE,FALSE,0.0845361518945274
"R52B09","A20-4x102_inference.xml",0.01010791553155,0.863770700452675,0.136229299547325,1.36489640398815,-0.00294978597815477,1.50859611108035e-06,114,1770,9,0.716277754247934,NA,0.276154933113428,NA,0.0342393988219867,NA,0.510598834128246,0.514278799612778,FALSE,FALSE,0.269570466270197
"R52B09","Y53-3x1_inference.xml",0.0155849693788196,0.170178431094635,0.829821568905365,0.94492806442753,-0.00297216706000924,1.71406771050804e-06,170,1824,9,0.716277754247934,NA,0.276154933113428,NA,0.0342393988219867,NA,0.510598834128246,0.514278799612778,FALSE,FALSE,0.269570466270197
"R81G05","Y35-2x1_inference.xml",0.00517709427466277,0.444447078391123,0.555552921608877,0.979645640623615,-0.00284683931335479,1.58158303660824e-06,94,1830,7,0.372741059953994,NA,0.652321606433469,NA,0.14361324120719,NA,0.495921696574225,0.496659242761693,FALSE,FALSE,0.891515945735184
"R82C05","Z240A-6x1_NEW_inference.xml",0.0496242338473742,0.928034822146599,0.0719651778534012,-0.298611044086491,0.00175417266999881,-1.17838099076289e-06,139,1742,12,0.898079682129808,NA,0.0938928395417277,NA,0.523589703549074,NA,0.516798880074662,0.519421665947346,FALSE,FALSE,0.0745226287665251
"R84A12","A233A-1x102_inference.xml",0.0298802698818961,0.636325082559062,0.363674917440938,-0.758621153597516,0.00245258212129052,-1.41468132432739e-06,120,1784,28,0.962942091636708,NA,0.25471721976633,NA,0.837270542760551,NA,0.516891268229647,0.517828810020877,FALSE,TRUE,0.00335520570963865
"R87A03","X474-4x402_inference.xml",0.0494776701944037,0.470462263710746,0.529537736289254,1.07607370411781,-0.00347128311680949,2.07959401032722e-06,151,1698,6,0.282982078211141,NA,0.885106437565064,NA,0.316894743425694,NA,0.483501374885426,0.485275819162173,FALSE,FALSE,0.388491960464746
