"Allele"	"Count"	"Increasing Linear"	"Decreasing Linear"	"Quadratic"	"Transmission Rate"
"R01G01"	8	0.735132459024896	0.421979561982127	0.865106270564428	0.503700818075575
"R02D02"	8	0.506644131492246	0.761422738203573	0.41321944609538	0.508064516129032
"R04A02"	10	0.464943393862632	0.126559052739427	0.444007139096928	0.526725304465494
"R04G10"	8	0.00279336113405602	0.991898172544315	0.32266276611402	0.515657009072286
"R06C04"	10	7.08413271479996e-05	0.98298413309223	0.0111010574426802	0.520340335017283
"R08A07"	5	0.397414421337207	0.579473302207374	0.442521001329668	0.496615384615385
"R101B03"	8	0.877970215367122	0.374714090410397	0.746271155606485	0.488418266048974
"R102H01"	19	0.663227397882701	0.55665442027397	0.422528177420516	0.506363760777337
"R103E04"	11	0.0571981983575896	0.629578180378288	0.188502612654904	0.504139834406624
"R106E07"	7	0.797396266922363	0.264112172908792	0.00728494895973328	0.506012950971323
"R106F04"	7	0.73824554337537	0.313445267588544	0.476798580965041	0.496977547495682
"R106G12"	10	0.494469478873493	0.644596602342357	0.213987483851309	0.502912621359223
"R107C12"	11	0.207545280932282	0.271204030320779	0.0266663121245595	0.513066666666667
"R12H07"	5	0.204450850398069	0.795263533669964	0.585191595996332	0.492211838006231
"R23D05"	8	0.332894562744437	0.834765298871356	0.364854766854029	0.511390051139005
"R24D03"	11	0.237479311190809	0.887956763389405	0.803624220618837	0.529793843547021
"R26G07"	12	0.577012842897051	0.591954700976106	0.755628215328752	0.500481000481001
"R27E01"	9	0.360723550903428	0.23015614519273	0.402020819300458	0.516030956329464
"R31B01"	7	0.110339383942446	0.876238757821006	0.595679410595538	0.504738360115369
"R31H05"	5	0.264839003175538	0.0216858080802055	0.0102287787033523	0.517045454545455
"R32B05"	6	0.120521645421856	0.985349900371678	0.902164963362196	0.494741270509045
"R33F03"	8	0.301264399461387	0.788538046571759	0.843013697684363	0.5
"R34C11"	9	0.0453190061613826	0.987986697451186	0.0258068670901887	0.51892635925671
"R35A08"	10	0.337243514795406	0.700549482515388	0.298217069690854	0.499240890688259
"R37A04"	10	0.802105928192578	0.680270320865612	0.935640479205806	0.510935318752908
"R41F01"	7	0.0357245823050908	0.750220093953729	0.252385751151372	0.505473025801407
"R44E07"	6	0.614333837609033	0.257768441344246	0.348338265580321	0.513167795334838
"R45E04"	7	0.171231344271237	0.0806386924598909	0.0424265196543627	0.509632860777899
"R46C04"	7	0.32865975655438	0.777202266430997	0.879129766736404	0.511581469648562
"R49F11"	9	0.905200340485037	0.299265313549919	0.901084770365753	0.503643252696007
"R52B09"	9	0.716277754247934	0.276154933113428	0.0342393988219867	0.510598834128246
"R52E07"	8	0.440881436137468	0.700722431417232	0.892334410505686	0.494783433449257
"R53C03"	10	0.411235559268974	0.67850471131063	0.783886856758611	0.490346307079375
"R60D10"	6	0.605901961513589	0.819064936136159	0.994764875689704	0.523129921259842
"R63F09"	8	0.281015460443851	0.375099676251007	0.426060790541376	0.512580877066858
"R65A10"	11	0.077587701093818	0.855067265634152	0.30250431331744	0.515590473852197
"R65E02"	7	0.701271786420325	0.164594475127522	0.39341081926672	0.510660980810235
"R67C09"	10	0.408347372215824	0.623645472200823	0.294990547640956	0.519282511210762
"R69C04"	7	0.805917620324659	0.59614708319956	0.722262376191241	0.501653803748622
"R72D11"	7	0.0186173747921698	0.97849755744259	0.503696588464962	0.492040520984081
"R77F09"	9	0.477411065703342	0.651162637728749	0.681899701329049	0.520841156590312
"R81E02"	12	0.120993220597436	0.937015940773429	0.446390088543786	0.481853281853282
"R81G05"	7	0.372741059953994	0.652321606433469	0.14361324120719	0.495921696574225
"R82A03"	22	0.806406555971971	0.33660584878761	0.741277640996979	0.498086246491452
"R82C05"	12	0.898079682129808	0.0938928395417277	0.523589703549074	0.516798880074662
"R83A02"	15	0.517466136019333	0.944956105450791	0.995477793196427	0.501007510533065
"R83B04"	5	0.442162101372034	0.63040137908572	0.838576711227238	0.5067497403946
"R84A12"	28	0.962942091636708	0.25471721976633	0.837270542760551	0.516891268229647
"R87A03"	6	0.282982078211141	0.885106437565064	0.316894743425694	0.483501374885426
"R88B08"	6	0.403991278097254	0.801412303803421	0.52381234703464	0.507516848107828
"R91F11"	7	0.92037429348866	0.143843760058598	0.787980954300255	0.498843739676247
"R91G06"	7	0.410551248251878	0.292308620649215	0.262957526971897	0.505960729312763
"R92A10"	12	0.32463362070354	0.622719021366161	0.519856015133958	0.501875137877785
"R92F08"	9	0.181235273243393	0.905975578926083	0.282263475130918	0.490821256038647
"R95D10"	15	0.348534531936311	0.288851309856904	0.128345695071721	0.490870651547184
"R96B12"	12	0.410348067510487	0.188278954745049	0.565558319138872	0.519214876033058
"R96C12"	17	0.956054438391883	0.191384326064027	0.379511569725702	0.499583957397237
"R99B02"	7	0.552477039602869	0.78832531080318	0.867973631780783	0.504894578313253
